浙江电信,#genre#
凤凰中文,http://112.193.120.73:5555/udp/239.93.0.162:2192
凤凰中文,http://112.193.120.73:5555/udp/239.93.1.9:2192
凤凰资讯,http://112.193.120.73:5555/udp/239.93.0.118:2191
凤凰资讯,http://112.193.120.73:5555/udp/239.93.1.4:2191
星空,http://112.193.120.73:5555/udp/239.93.0.156:2193
星空,http://112.193.120.73:5555/udp/239.93.1.10:2193
CCTV-1,http://112.193.120.73:5555/udp/239.93.0.184:5140
CCTV-2,http://112.193.120.73:5555/udp/239.93.1.23:6000
CCTV-3,http://112.193.120.73:5555/udp/239.93.1.11:2223
CCTV-4,http://112.193.120.73:5555/udp/239.93.1.105:5140
CCTV-5,http://112.193.120.73:5555/udp/239.93.42.37:5140
CCTV-6,http://112.193.120.73:5555/udp/239.93.1.13:2226
CCTV-7,http://112.193.120.73:5555/udp/239.93.1.67:5140
CCTV-8,http://112.193.120.73:5555/udp/239.93.42.39:5140
CCTV-9,http://112.193.120.73:5555/udp/239.93.1.24:5140
CCTV-10,http://112.193.120.73:5555/udp/239.93.1.28:5140
CCTV-11,http://112.193.120.73:5555/udp/239.93.0.102:5140
CCTV-12,http://112.193.120.73:5555/udp/239.93.1.30:8124
CCTV-13,http://112.193.120.73:5555/udp/239.93.0.66:5140
CCTV-14,http://112.193.120.73:5555/udp/239.93.1.29:6000
CCTV-15,http://112.193.120.73:5555/udp/239.93.0.103:5140
CCTV-17,http://112.193.120.73:5555/udp/239.93.0.92:5140
CCTV-5＋,http://112.193.120.73:5555/udp/239.93.1.36:8004
爱上4K,http://112.193.120.73:5555/udp/239.93.0.97:5140
爱上4K,http://112.193.120.73:5555/udp/239.93.1.113:5140
爱上4K,http://112.193.120.73:5555/udp/239.93.1.251:8224
CGTN英语,http://112.193.120.73:5555/udp/239.93.0.104:5140
四川卫视,http://112.193.120.73:5555/udp/239.93.0.20:1235
湖南卫视,http://112.193.120.73:5555/udp/239.93.0.88:5140
江苏卫视,http://112.193.120.73:5555/udp/239.93.0.89:5140
浙江卫视,http://112.193.120.73:5555/udp/239.93.0.124:5140
东方卫视,http://112.193.120.73:5555/udp/239.93.0.123:5140
北京卫视,http://112.193.120.73:5555/udp/239.93.0.180:5140
深圳卫视,http://112.193.120.73:5555/udp/239.93.0.182:5140
广东卫视,http://112.193.120.73:5555/udp/239.93.0.181:5140
天津卫视,http://112.193.120.73:5555/udp/239.93.0.167:5140
山东卫视,http://112.193.120.73:5555/udp/239.93.0.168:5140
康巴卫视,http://112.193.120.73:5555/udp/239.93.0.41:5140
江西卫视,http://112.193.120.73:5555/udp/239.93.0.134:5140
东南卫视,http://112.193.120.73:5555/udp/239.93.0.42:5140
黑龙江卫视,http://112.193.120.73:5555/udp/239.93.0.183:5140
重庆卫视,http://112.193.120.73:5555/udp/239.93.1.107:5140
